sample,client_wall_ms,server_total_ms,server_vision_ms,server_inference_ms,server_prefill_ms,server_denoise_ms,bitwise_equal_reference
0,79.827469,76.9231873,20.4319401,55.7569542,0,0,true
1,84.735969,81.9490509,19.2849579,62.0713158,0,0,true
2,77.167733,74.3512421,20.0095501,53.7440147,0,0,true
3,84.316405,81.55439,19.2856007,61.6928558,0,0,true
4,78.832242,76.1116638,19.0188713,56.5316505,0,0,true
5,85.223934,82.4854126,19.0064678,62.1746559,0,0,true
6,79.296424,76.4366226,19.4685211,56.208149,0,0,true
7,84.388291,81.5952454,19.0679646,61.9410744,0,0,true
8,76.790786,74.0179825,19.0073662,54.4527969,0,0,true
9,76.88854,74.1278229,18.9753666,54.5850029,0,0,true
