sample,client_wall_ms,server_total_ms,server_vision_ms,server_inference_ms,server_prefill_ms,server_denoise_ms,bitwise_equal_reference
0,57.557883,54.8729782,18.5502205,35.8548813,0,0,true
1,57.543259,54.8404808,18.7106152,35.6493912,0,0,true
2,57.385815,54.701725,18.6700878,35.5707588,0,0,true
3,57.301372,54.6288757,18.6015663,35.5724335,0,0,true
4,57.740265,55.0365753,18.6205559,35.9557571,0,0,true
5,57.819297,55.1386375,18.6413155,36.0398254,0,0,true
6,57.503472,54.7947845,18.622036,35.7012711,0,0,true
7,57.309579,54.6434402,18.6280365,35.5726395,0,0,true
8,57.328014,54.6479454,18.6574516,35.5416756,0,0,true
9,57.2354,54.577961,18.5978851,35.5221024,0,0,true
10,57.235438,54.5906487,18.6080456,35.5345612,0,0,true
11,57.134828,54.4848824,18.5944462,35.4426041,0,0,true
12,57.631643,54.9142418,18.52882,35.9422569,0,0,true
13,57.890936,55.2220268,18.661602,36.1024513,0,0,true
14,57.347197,54.6895332,18.6364841,35.5942612,0,0,true
15,57.316808,54.6480598,18.6165009,35.5619202,0,0,true
16,57.427183,54.6780815,18.6111088,35.5644646,0,0,true
17,57.339302,54.6288338,18.6113033,35.5539169,0,0,true
18,57.292085,54.6081886,18.6187916,35.5455284,0,0,true
19,57.0945,54.4431267,18.6071129,35.3859825,0,0,true
20,57.672532,54.9419022,18.5533504,35.9404716,0,0,true
21,58.178913,55.5069122,18.6747799,36.375248,0,0,true
22,57.855564,55.1831665,18.7394409,35.9965935,0,0,true
23,57.722296,54.9583015,18.7689915,35.6962166,0,0,true
24,57.32728,54.6766205,18.6237564,35.6069794,0,0,true
25,57.373483,54.6674385,18.6361561,35.5763168,0,0,true
26,57.339966,54.627739,18.6244755,35.5582352,0,0,true
27,57.242647,54.5751648,18.5901432,35.5442009,0,0,true
28,57.416944,54.7233696,18.5231972,35.7492485,0,0,true
29,57.715105,55.0323982,18.6316528,35.9596405,0,0,true
