sample,client_wall_ms,server_total_ms,server_vision_ms,server_inference_ms,server_prefill_ms,server_denoise_ms,bitwise_equal_reference
0,70.142215,67.4264526,18.7052765,48.1990509,0,0,true
1,70.390883,67.6742325,18.7346287,48.437561,0,0,true
2,71.255288,68.551445,18.7338161,49.3429451,0,0,true
3,70.369817,67.6574097,18.8073196,48.3657341,0,0,true
4,72.232445,69.505806,18.7314396,50.2875366,0,0,true
5,70.394052,67.6957703,18.8905392,48.3451004,0,0,true
6,71.043593,68.3242264,18.705368,49.1483688,0,0,true
7,70.121876,67.440155,18.7731991,48.2032547,0,0,true
8,70.537211,67.8269882,18.7089405,48.6622467,0,0,true
9,69.994059,67.285347,18.7416134,48.0616989,0,0,true
10,70.695765,67.9880142,18.7131977,48.8004875,0,0,true
11,70.145108,67.4362106,18.7808399,48.1948013,0,0,true
12,70.630793,67.9328079,18.7297077,48.7297058,0,0,true
13,70.18012,67.4587021,18.8375626,48.164772,0,0,true
14,70.425092,67.7387238,18.7324448,48.5416565,0,0,true
15,70.459831,67.7455063,18.7099686,48.5573502,0,0,true
16,70.217458,67.5058746,18.7207947,48.3250275,0,0,true
17,70.674912,67.9075089,18.6961842,48.7446098,0,0,true
18,70.27096,67.5736618,18.7810364,48.3270226,0,0,true
19,71.635661,68.9257736,18.7206364,49.7528534,0,0,true
20,70.321307,67.6223068,18.8238888,48.3340302,0,0,true
21,71.560029,68.83284,18.7237911,49.6345749,0,0,true
22,70.134306,67.4322891,18.755888,48.2169495,0,0,true
23,71.931705,69.1286469,19.0482197,49.4221306,0,0,true
24,71.170184,68.3762817,19.1840839,48.4465027,0,0,true
25,71.091001,68.3302231,18.9139576,48.859417,0,0,true
26,71.427669,68.6434021,18.8132324,49.3177795,0,0,true
27,70.624115,67.8531952,18.8932114,48.4093399,0,0,true
28,72.028752,69.3149567,18.8016205,49.9573669,0,0,true
29,70.415115,67.6846237,18.8863392,48.2686195,0,0,true
